iteration,backaction,cumulative_backaction,log10_backaction,normalized_backaction,above_threshold
0,1.4667454648e-06,1.4667454648e-06,-5.833645,0.001467,0
1,2.1755159883e-06,3.6422614531e-06,-5.662438,0.002176,0
2,1.4952518770e-06,5.1375133301e-06,-5.825286,0.001495,0
3,1.7853836696e-06,6.9228969998e-06,-5.748268,0.001785,0
4,1.2492328748e-06,8.1721298746e-06,-5.903357,0.001249,0
5,8.1978957558e-07,8.9919194502e-06,-6.086298,0.000820,0
6,9.8090354613e-07,9.9728229963e-06,-6.008374,0.000981,0
7,2.3503475728e-06,1.2323170569e-05,-5.628868,0.002350,0
8,2.7795385861e-06,1.5102709155e-05,-5.556027,0.002780,0
9,1.7211473944e-06,1.6823856550e-05,-5.764182,0.001721,0
10,1.3599454594e-06,1.8183802009e-05,-5.866479,0.001360,0
11,1.4939837463e-06,1.9677785755e-05,-5.825654,0.001494,0
12,2.1537604071e-06,2.1831546162e-05,-5.666803,0.002154,0
13,1.0668829200e-06,2.2898429082e-05,-5.971883,0.001067,0
14,1.4962623753e-06,2.4394691458e-05,-5.824992,0.001496,0
15,1.7504618471e-06,2.6145153305e-05,-5.756847,0.001750,0
16,3.2927470142e-06,2.9437900319e-05,-5.482442,0.003293,0
