index,time_s,time_fs,n,l,m,s,S_k,S_t,S_e
0,0.0000000000e+00,0.000,1,2,-1,0.5,1.000000,0.500000,0.000000
1,1.0000000000e-14,10.000,1,2,0,0.5,0.988235,0.703368,0.011765
2,2.0000000000e-14,20.000,1,2,-1,0.5,0.976471,0.871572,0.023529
3,3.0000000000e-14,30.000,1,2,-1,0.5,0.964706,0.975528,0.035294
4,4.0000000000e-14,40.000,1,2,-1,0.5,0.952941,0.997261,0.047059
5,5.0000000000e-14,50.000,1,2,-1,0.5,0.941176,0.933013,0.058824
6,6.0000000000e-14,60.000,1,2,-1,0.5,0.929412,0.793893,0.070588
7,7.0000000000e-14,70.000,1,2,-1,0.5,0.917647,0.603956,0.082353
8,8.0000000000e-14,80.000,1,2,-1,0.5,0.905882,0.396044,0.094118
9,9.0000000000e-14,90.000,2,2,-1,0.5,0.894118,0.206107,0.105882
10,1.0000000000e-13,100.000,2,2,-1,0.5,0.882353,0.066987,0.117647
11,1.1000000000e-13,110.000,2,2,-1,0.5,0.870588,0.002739,0.129412
12,1.2000000000e-13,120.000,2,2,-1,0.5,0.858824,0.024472,0.141176
13,1.3000000000e-13,130.000,2,2,-1,0.5,0.847059,0.128428,0.152941
14,1.4000000000e-13,140.000,2,2,-1,0.5,0.835294,0.296632,0.164706
15,1.5000000000e-13,150.000,2,2,-1,0.5,0.823529,0.500000,0.176471
16,1.6000000000e-13,160.000,2,2,-1,0.5,0.811765,0.703368,0.188235
