iteration,trit,response_P1_radial,response_P2_angular,trit_interpretation,position_region
0,1,0,1,angular_response,inner_shell
1,1,0,1,angular_response,inner_shell
2,1,0,1,angular_response,inner_shell
3,1,0,1,angular_response,inner_shell
4,1,0,1,angular_response,inner_shell
5,1,0,1,angular_response,inner_shell
6,1,0,1,angular_response,inner_shell
7,1,0,1,angular_response,inner_shell
8,1,0,1,angular_response,inner_shell
9,2,0,0,null_response,middle_shell
10,1,0,1,angular_response,middle_shell
11,1,0,1,angular_response,middle_shell
12,2,0,0,null_response,middle_shell
13,1,0,1,angular_response,middle_shell
14,2,0,0,null_response,middle_shell
15,2,0,0,null_response,middle_shell
16,1,0,1,angular_response,middle_shell
