index,time_fs,S_k,S_t,S_e,S_total,path_length_cumulative
0,0.000,1.000000,0.500000,0.000000,1.500000,0.000000
1,10.000,0.988235,0.703368,0.011765,1.703368,0.204048
2,20.000,0.976471,0.871572,0.023529,1.871572,0.373073
3,30.000,0.964706,0.975528,0.035294,1.975528,0.478352
4,40.000,0.952941,0.997261,0.047059,1.997261,0.505722
5,50.000,0.941176,0.933013,0.058824,1.933013,0.572089
6,60.000,0.929412,0.793893,0.070588,1.793893,0.712201
7,70.000,0.917647,0.603956,0.082353,1.603956,0.902865
8,80.000,0.905882,0.396044,0.094118,1.396044,1.111441
9,90.000,0.894118,0.206107,0.105882,1.206107,1.302105
10,100.000,0.882353,0.066987,0.117647,1.066987,1.442217
11,110.000,0.870588,0.002739,0.129412,1.002739,1.508584
12,120.000,0.858824,0.024472,0.141176,1.024472,1.535954
13,130.000,0.847059,0.128428,0.152941,1.128428,1.641233
14,140.000,0.835294,0.296632,0.164706,1.296632,1.810258
15,150.000,0.823529,0.500000,0.176471,1.500000,2.014306
16,160.000,0.811765,0.703368,0.188235,1.703368,2.218354
