iteration,trit,x_m,y_m,z_m,x_angstrom,y_angstrom,z_angstrom,time_s,time_fs,backaction,cumulative_backaction,radius_angstrom
0,1,1.8777982958e-12,5.9007964839e-13,5.4210687049e-13,0.018778,0.005901,0.005421,0.0000000000e+00,0.000,1.4667454648e-06,1.4667454648e-06,0.020416
1,1,1.0363197517e-12,1.1450210268e-12,-8.2402876290e-13,0.010363,0.011450,-0.008240,1.0000000000e-14,10.000,2.1755159883e-06,3.6422614531e-06,0.017504
2,1,5.1224515331e-12,-9.7789601294e-13,1.5573992564e-12,0.051225,-0.009779,0.015574,2.0000000000e-14,20.000,1.4952518770e-06,5.1375133301e-06,0.054425
3,1,1.7253272352e-11,5.0618860109e-13,4.3734162686e-13,0.172533,0.005062,0.004373,3.0000000000e-14,30.000,1.7853836696e-06,6.9228969998e-06,0.172662
4,1,2.5382491095e-11,-7.1501723750e-13,2.9795214857e-14,0.253825,-0.007150,0.000298,4.0000000000e-14,40.000,1.2492328748e-06,8.1721298746e-06,0.253926
5,1,4.1875878159e-11,8.4368582191e-13,-1.4670065644e-12,0.418759,0.008437,-0.014670,5.0000000000e-14,50.000,8.1978957558e-07,8.9919194502e-06,0.419101
6,1,5.7386148435e-11,-1.9011209416e-12,-1.9564548115e-12,0.573861,-0.019011,-0.019565,6.0000000000e-14,60.000,9.8090354613e-07,9.9728229963e-06,0.574510
7,1,7.3749128624e-11,-7.7620509461e-13,-3.2991286696e-13,0.737491,-0.007762,-0.003299,7.0000000000e-14,70.000,2.3503475728e-06,1.2323170569e-05,0.737540
8,1,9.1877999976e-11,1.8704758984e-12,6.4575923852e-13,0.918780,0.018705,0.006458,8.0000000000e-14,80.000,2.7795385861e-06,1.5102709155e-05,0.918993
9,2,1.0801412792e-10,-8.3195419782e-13,-8.4521564283e-13,1.080141,-0.008320,-0.008452,9.0000000000e-14,90.000,1.7211473944e-06,1.6823856550e-05,1.080206
10,1,1.2584993920e-10,3.1520946972e-14,-2.0060427242e-13,1.258499,0.000315,-0.002006,1.0000000000e-13,100.000,1.3599454594e-06,1.8183802009e-05,1.258501
11,1,1.4263210002e-10,3.4047891119e-13,1.1002849669e-13,1.426321,0.003405,0.001100,1.1000000000e-13,110.000,1.4939837463e-06,1.9677785755e-05,1.426325
12,2,1.5720594885e-10,2.0736988292e-13,-1.4044827674e-12,1.572059,0.002074,-0.014045,1.2000000000e-13,120.000,2.1537604071e-06,2.1831546162e-05,1.572124
13,1,1.7225591402e-10,-9.2233316602e-13,8.6430236877e-14,1.722559,-0.009223,0.000864,1.3000000000e-13,130.000,1.0668829200e-06,2.2898429082e-05,1.722584
14,2,1.8352627083e-10,2.0029848585e-13,-1.0390468464e-12,1.835263,0.002003,-0.010390,1.4000000000e-13,140.000,1.4962623753e-06,2.4394691458e-05,1.835293
15,2,1.9078529982e-10,-1.9051581529e-13,1.1874543835e-12,1.907853,-0.001905,0.011875,1.5000000000e-13,150.000,1.7504618471e-06,2.6145153305e-05,1.907891
16,1,1.9889979849e-10,-8.8124405455e-13,1.7573152716e-13,1.988998,-0.008812,0.001757,1.6000000000e-13,160.000,3.2927470142e-06,2.9437900319e-05,1.989018
