step,ground,natural,excited
0,928,171,3
1,847,243,12
2,782,300,20
3,712,364,26
4,661,401,40
5,616,433,53
6,584,449,69
7,551,464,87
8,527,469,106
9,507,482,113
10,465,512,125
11,447,515,140
12,422,528,152
13,400,552,150
14,388,553,161
15,388,552,162
16,367,564,171
17,346,570,186
18,337,566,199
19,332,558,212
20,325,555,222
21,331,548,223
22,322,548,232
23,310,570,222
24,299,567,236
25,289,577,236
26,284,584,234
27,276,588,238
28,271,586,245
29,263,575,264
30,260,569,273
31,265,569,268
32,266,582,254
33,276,583,243
34,276,579,247
35,293,568,241
36,289,566,247
37,293,544,265
38,295,532,275
39,292,537,273
40,288,538,276
41,285,545,272
42,280,559,263
43,279,565,258
44,273,578,251
45,284,561,257
46,277,567,258
47,282,564,256
48,285,562,255
49,279,571,252
50,268,575,259
51,266,565,271
52,269,557,276
53,261,571,270
54,264,563,275
55,276,550,276
56,261,553,288
57,261,546,295
58,259,553,290
59,262,558,282
60,266,560,276
61,262,579,261
62,271,558,273
63,279,538,285
64,278,533,291
65,282,524,296
66,283,535,284
67,287,541,274
68,279,547,276
69,285,529,288
70,271,535,296
71,265,557,280
72,268,562,272
73,261,579,262
74,269,570,263
75,273,557,272
76,269,568,265
77,271,572,259
78,285,554,263
79,282,559,261
80,288,563,251
81,289,558,255
82,289,558,255
83,297,564,241
84,301,554,247
85,309,555,238
86,302,564,236
87,306,552,244
88,310,540,252
89,307,549,246
90,303,566,233
91,318,554,230
92,307,556,239
93,307,545,250
94,309,546,247
95,299,568,235
96,285,575,242
97,286,574,242
98,285,573,244
99,280,576,246
100,284,576,242
101,296,553,253
102,296,554,252
103,306,546,250
104,293,561,248
105,282,571,249
106,295,558,249
107,296,552,254
108,282,556,264
109,278,562,262
110,287,543,272
111,287,546,269
112,273,563,266
113,269,564,269
114,274,558,270
115,272,563,267
116,268,568,266
117,277,547,278
118,277,554,271
119,277,560,265
120,279,549,274
121,280,555,267
122,284,550,268
123,290,560,252
124,291,556,255
125,298,553,251
126,306,539,257
127,304,533,265
128,313,524,265
129,320,516,266
130,315,528,259
131,304,543,255
132,306,531,265
133,299,546,257
134,303,529,270
135,293,546,263
136,295,533,274
137,274,548,280
138,269,562,271
139,261,574,267
140,267,569,266
141,260,581,261
142,276,550,276
143,280,553,269
144,290,545,267
145,296,542,264
146,301,536,265
147,317,517,268
148,315,514,273
149,303,537,262
150,299,540,263
151,300,534,268
152,293,538,271
153,293,545,264
154,293,549,260
155,306,542,254
156,294,550,258
157,285,566,251
158,287,570,245
159,287,564,251
160,297,563,242
161,312,545,245
162,309,547,246
163,308,542,252
164,303,552,247
165,294,564,244
166,298,551,253
167,292,561,249
168,271,582,249
169,263,590,249
170,272,580,250
171,273,571,258
172,280,555,267
173,275,557,270
174,284,552,266
175,271,547,284
176,274,539,289
177,264,553,285
178,260,555,287
179,252,567,283
180,254,572,276
181,264,550,288
182,258,561,283
183,251,572,279
184,265,571,266
185,272,565,265
186,272,566,264
187,278,552,272
188,271,565,266
189,283,557,262
190,276,560,266
191,279,565,258
192,272,575,255
193,255,586,261
194,272,567,263
195,280,562,260
196,281,568,253
197,281,561,260
198,276,558,268
199,288,550,264
